Paper,Year,TC (mg cm-3),TC (%),IC (mg cm-3),IC (%),Location,Depth,Notes,Disturbance
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0483,2018,14.343,,0.000,0.000,Chengmai,0-20,No TC in % form,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0484,2018,9.906,,0.000,0.000,Chengmai,20-40,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0485,2018,8.768,,0.120,1.364,Chengmai,40-60,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0486,2018,10.306,,0.021,0.203,Chengmai,60-80,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0487,2018,12.362,,0.736,5.951,Chengmai,80-100,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0488,2018,7.790,,2.427,,Chengmai,0-20,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0489,2018,6.381,,2.819,,Chengmai,20-40,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0490,2018,6.087,,2.640,,Chengmai,40-60,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0491,2018,6.732,,2.495,,Chengmai,60-80,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0492,2018,7.370,,2.317,,Chengmai,80-100,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0493,2018,8.695,,2.595,,Chengmai,0-20,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0494,2018,10.121,,2.905,,Chengmai,20-40,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0495,2018,13.208,,2.788,,Chengmai,40-60,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0496,2018,12.182,,2.619,,Chengmai,60-80,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0497,2018,10.848,,2.401,,Chengmai,80-100,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0498,2018,21.997,,2.046,,Chengmai,0-20,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0499,2018,16.033,,2.541,,Chengmai,20-40,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0500,2018,14.662,,2.957,,Chengmai,40-60,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0501,2018,14.651,,2.743,,Chengmai,60-80,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0502,2018,15.867,,2.615,,Chengmai,80-100,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0503,2018,35.007,,5.688,16.247,Dongchang-Caiqiao,0-20,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0504,2018,30.425,,5.338,17.544,Dongchang-Caiqiao,20-40,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0505,2018,27.067,,2.112,7.804,Dongchang-Caiqiao,40-60,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0506,2018,25.078,,0.837,3.339,Dongchang-Caiqiao,60-80,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0507,2018,22.870,,0.363,1.587,Dongchang-Caiqiao,80-100,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0508,2018,29.835,,2.002,,Dongchang-Caiqiao,0-20,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0509,2018,24.705,,2.224,,Dongchang-Caiqiao,20-40,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0510,2018,21.046,,2.312,,Dongchang-Caiqiao,40-60,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0511,2018,23.720,,2.375,,Dongchang-Caiqiao,60-80,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0512,2018,23.535,,2.184,,Dongchang-Caiqiao,80-100,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0513,2018,36.433,,1.282,,Dongchang-Caiqiao,0-20,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0514,2018,20.976,,1.941,,Dongchang-Caiqiao,20-40,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0515,2018,20.034,,2.492,,Dongchang-Caiqiao,40-60,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0516,2018,32.854,,1.581,,Dongchang-Caiqiao,0-20,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0517,2018,29.140,,1.589,,Dongchang-Caiqiao,20-40,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0518,2018,26.536,,1.607,,Dongchang-Caiqiao,40-60,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0519,2018,22.504,,2.307,,Dongchang-Caiqiao,0-20,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0520,2018,10.589,,2.671,,Dongchang-Caiqiao,20-40,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0521,2018,12.190,,2.574,,Dongchang-Caiqiao,40-60,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0522,2018,9.837,,3.043,,Dongchang-Caiqiao,60-80,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0523,2018,40.773,,10.335,,Danzhou,0-20,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0524,2018,38.240,,1.645,,Danzhou,20-40,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0525,2018,28.121,,2.039,,Danzhou,40-60,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0526,2018,28.732,,2.041,,Danzhou,60-80,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0527,2018,24.569,,2.252,,Danzhou,80-100,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0528,2018,27.665,,0.713,2.579,Danzhou,0-20,,Undisturbed
https://royalsocietypublishing.org/doi/suppl/10.1098/rsbl.2018.0529,2018,13.978,,0.053,0.381,Danzhou,20-40,,Undisturbed
